species,plantType,kingdom,phylum,AngioGymnosperm,dicotMonocot,class,order,family,raunkier,ecoregion,clonality,ramet,genet,Country,temporalReplication,start,end,spatialReplication,dimension,criteriaSize,criteriaStage,criteriaAge,criteria
Abies_concolor,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Megaphanerophyte,TCF,Genet,NA,NA,USA,22,1982,2003,15,5,DBH,NA,NA,S
Abies_homolepis,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Megaphanerophyte,TCF,Genet,NA,NA,JPN,5,1982,1986,1,6,DBH,NA,NA,S
Abies_magnifica,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Mesophanerophyte,TCF,Genet,NA,NA,USA,21,1982,2002,15,5,DBH,NA,NA,S
Abies_sachalinensis,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Megaphanerophyte,TCF,Genet,NA,NA,JPN,4,1989,1992,1,6,DBH,NA,NA,S
Abies_sachalinensis_2,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Megaphanerophyte,TCF,Genet,NA,NA,JPN,20,1971,1990,1,5,DBH,NA,NA,S
Acacia_aneura,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,Nanophanerophyte,DES,Genet,NA,NA,AUS,5,1986,1990,1,10,Canopy area,NA,NA,S
Acacia_bilimekii,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,Nanophanerophyte,DES,Genet,NA,NA,MEX,2,2001,2002,1,6,Canopy volume,Based on size,NA,S
Acacia_pennatula,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,Mesophanerophyte,TSC,Genet,NA,NA,NIC,NA,NA,NA,1,16,DBH,NA,NA,S
Acer_amoenum,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Aceraceae,Mesophanerophyte,TBM,Genet,NA,NA,JPN,7,1987,1993,1,16,DBH and stem height,NA,NA,S
Acer_mono,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Aceraceae,Megaphanerophyte,TBM,Genet,NA,NA,JPN,7,1987,1993,1,16,DBH and stem height,NA,NA,S
Acer_rufinerve,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Aceraceae,Megaphanerophyte,TBM,Genet,NA,NA,JPN,7,1987,1993,1,16,DBH and stem height,NA,NA,S
Acer_saccharum,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Aceraceae,Megaphanerophyte,TBM,Genet,NA,NA,USA,51,1951,2001,1,3,DBH,NA,NA,S
Achillea_millefolium,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,MON,Genet,NA,NA,GBR,3,1997,1999,1,3,Adults,Based on size,NA,S
Achnatherum_calamagrostis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,MON,Ramet,NA,NA,ESP,3,1989,1991,2,11,Tiller number,Yes,NA,S.ST
Aconitum_noveboracense,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Helophyte,FGS,Genet,NA,NA,USA,5,1985,1989,4,5,Stem diameter,NA,NA,S
Actaea_elata,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Helophyte,TBM,Genet,NA,NA,CAN,3,2005,2007,2,6,Leaf number; width of the lowest largest central leaflet,Yes,NA,S.ST.A
Actaea_spicata,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Hemicryptophyte,TBM,Genet,NA,NA,SWE,6,1993,1998,2,6,Shoot height,Based on size,NA,S
Adesmia_volckmanni,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Chamaephyte,TGS,Genet,NA,NA,ARG,7,1997,2003,1,3,Height and two perpendicular diameters,NA,NA,S
Aechmea_magdalenae,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Bromeliaceae,Geophyte,TDB,Ramet,NA,NA,MEX,4,1996,1999,1,6,Ramet diameter,NA,NA,S
Aechmea_nudicaulis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Bromeliaceae,Geophyte,TMB,Ramet,NA,NA,BRA,3,2001,2003,3,3,NA,Yes,NA,ST
Aesculus_turbinata,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Hippocastanaceae,Mesophanerophyte,TBM,Genet,NA,NA,JPN,8,1989,1996,3,7,DBH; main stem length; number of winter buds and brunches,Yes,NA,S.ST
Agave_marmorata,Succulent,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Asparagaceae,Nanophanerophyte,DES,Genet,NA,NA,MEX,3,2002,2004,2,12,Diameter,Yes,NA,S.ST
Agrimonia_eupatoria,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Rosales,Rosaceae,Hemicryptophyte,TCF,Genet,NA,NA,SWE,6,1993,1998,1,4,NA,Yes,NA,ST
Agropyron_cristatum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,TGS,Ramet,NA,NA,CAN,2,2002,2003,1,8,Tiller number,NA,Seeds,S.A
Agropyron_repens,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,TBM,Ramet,NA,NA,GBR,4,1977,1980,4,6,NA,Yes,NA,ST
Ailanthus_altissima,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Simaroubaceae,Mesophanerophyte,TMB,Genet,NA,NA,USA,2,2007,2008,1,4,NA,Yes,NA,ST
Ailanthus_altissima_2,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Simaroubaceae,Mesophanerophyte,TMB,Genet,NA,NA,GBR,23,1980,2002,1,6,DBH,Yes,Yes,S.ST.A
Alaria_nana,Algae,Chromalveolata,Heterokontophyta,NA,NA,Phaeophyceae,Laminariales,Alariaceae,Hydrophyte,TCF,Genet,NA,NA,USA,10,1997,2001,1,6,Frond length and width,Yes,NA,S
Alliaria_petiolata,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,2,1996,1997,1,4,NA,Yes,NA,ST
Alliaria_petiolata_2,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,1,NA,NA,1,4,NA,Yes,NA,ST
Alliaria_petiolata_3,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,2,2007,2008,1,3,NA,Yes,NA,ST
Allium_monanthum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Amaryllidaceae,Geophyte,TBM,Ramet,NA,NA,JPN,8,1979,1986,1,4,NA,Yes,NA,ST
Allium_sativum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Amaryllidaceae,Geophyte,TGS,Genet,NA,NA,USA,2,2007,2008,1,2,NA,Yes,NA,ST
Allium_tricoccum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Amaryllidaceae,Geophyte,TBM,Ramet,NA,NA,CAN,5,1984,1988,1,15,Leaf width,Based on size,NA,S.ST
Allium_vineale,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Amaryllidaceae,Geophyte,TBM,Genet,NA,NA,USA,2,2007,2008,1,3,NA,Yes,NA,ST
Alnus_incana_ssp_rugosa,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fagales,Betulaceae,Mesophanerophyte,TBM,Genet,NA,NA,USA,4,1979,1982,1,5,DBH,NA,NA,S
Ambrosia_deltoidea,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Nanophanerophyte,DES,Genet,NA,NA,USA,73,1906,1978,1,6,Canopy volume,Based on size,NA,S
Ambrosia_dumosa,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Nanophanerophyte,DES,Genet,NA,NA,USA,11,1984,1994,1,6,Canopy volume,Based on size,NA,S.ST
Andropogon_semiberbis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,TGV,Genet,NA,NA,VEN,7,1979,1985,2,4,Tiller number,NA,NA,S
Anemone_patens,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Geophyte,BOR,Genet,NA,NA,CAN,7,1999,2005,1,5,Number of leaves,NA,NA,S
Annamocarya_sinensis,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Thymelaceae,Megaphanerophyte,TMB,Genet,NA,NA,VNM,3,2003,2005,1,19,"Seedling height, DBH",NA,NA,S
Anthoxanthum_odoratum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,TGS,Genet,NA,NA,GBR,3,1997,1999,1,2,NA,Yes,NA,ST
Anthyllis_vulneraria_ssp_alpicola,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Hemicryptophyte,TBM,Genet,NA,NA,AUT,3,2004,2006,1,5,Yes,Yes,NA,S.ST
Anthyllis_vulneraria,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Hemicryptophyte,TGS,Genet,NA,NA,FRA,3,1986,1988,5,6,NA,NA,Yes,A
Aquilaria_crassna,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Thymelaceae,Megaphanerophyte,TMB,Genet,NA,NA,THA,6,2000,2005,2,8,DBH,Yes,NA,S.ST
Aquilaria_malaccensis,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Thymelaceae,Megaphanerophyte,TMB,Genet,NA,NA,IDN,1,1997,1997,1,9,DBH and cm,Yes,NA,S.ST
Aquilaria_microcarpa,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Thymelaceae,Megaphanerophyte,TMB,Genet,NA,NA,IDN,2,1996,1997,1,9,Rosette number,Yes,Yes,S.ST.A
